"","Estimate","Lower.CI","Upper.CI","St Err","Ad","political"
"1",3.63418402714275,3.61892461506417,3.64933228936576,0.0265241008477178,"Biden","Weak"
"2",1.25,1.25,1.25,0.0141332381494948,"Colgate","Weak"
"3",2.47985263670151,2.46468554705219,2.49490924897365,0.0242905900275526,"Exxon","Weak"
"4",1.77882805365555,1.76419620747477,1.79335332118303,0.0226868540923249,"MSC","Weak"
"5",1.88841961118409,1.87653149952526,1.90022112960545,0.021478201167079,"Patagonia","Weak"
"6",3.22599683715513,3.21384189133737,3.23806324611019,0.0241487830915161,"Power","Weak"
"7",2.62248208537991,2.60131404108187,2.64349594122992,0.0276580647084192,"Sierra","Weak"
"8",3.40008614052238,3.3767922133685,3.42321039425599,0.0302278202995022,"Trump","Weak"
"9",4.22840451433685,4.22498728348627,4.23179685401118,0.0215369899495725,"Biden","Strong"
"10",1.84466290852152,1.82925403553317,1.85995954297811,0.0232125818931603,"Colgate","Strong"
"11",3.11680068291178,3.10603913177842,3.12748384669653,0.0232228077602114,"Exxon","Strong"
"12",3.10051223764567,3.08772786095749,3.11320349268439,0.0242360440381676,"MSC","Strong"
"13",3.78468715559338,3.77469430371308,3.79460721934544,0.0240907635603053,"Patagonia","Strong"
"14",4.08187233528938,4.07757536877701,4.08613800261377,0.0217135895770392,"Power","Strong"
"15",4.01621587364275,4.01276038944996,4.01964618802121,0.0211549309065881,"Sierra","Strong"
"16",4.45,4.45,4.45,0.0201928045206395,"Trump","Strong"
