"","Estimate","CI lower","CI upper","Std. Error","Iteration","political","Ad"
"1",3.37749859226398,3.31821759770185,3.43677958682611,0.0302278202995022,"Pooled","Low Political","Trump"
"2",3.61533153697121,3.56331405563979,3.66734901830264,0.0265241008477178,"Pooled","Low Political","Biden"
"3",2.44258265948201,2.3949454060821,2.49021991288192,0.0242905900275526,"Pooled","Low Political","Exxon"
"4",1.84171325358249,1.79959148912927,1.88383501803572,0.021478201167079,"Pooled","Low Political","Patagonia"
"5",3.2006316744989,3.15327252438665,3.24799082461115,0.0241487830915161,"Pooled","Low Political","Power"
"6",2.58748777704151,2.53324643355946,2.64172912052355,0.0276580647084192,"Pooled","Low Political","Sierra"
"7",1.19310758576206,1.16539032379662,1.2208248477275,0.0141332381494948,"Pooled","Low Political","Colgate"
"8",1.73037315043866,1.68588104810533,1.774865252772,0.0226868540923249,"Pooled","Low Political","MSC"
"9",4.44416394534952,4.40456302397571,4.48376486672333,0.0201928045206395,"Pooled","High Political","Trump"
"10",4.21903287881169,4.17679582131184,4.26126993631154,0.0215369899495725,"Pooled","High Political","Biden"
"11",3.08969328334411,3.04415010070936,3.13523646597885,0.0232228077602114,"Pooled","High Political","Exxon"
"12",3.76823595974847,3.7209905940732,3.81548132542373,0.0240907635603053,"Pooled","High Political","Patagonia"
"13",4.07016276238154,4.02757936824703,4.11274615651605,0.0217135895770392,"Pooled","High Political","Power"
"14",4.00345874451145,3.96197095837239,4.04494653065052,0.0211549309065881,"Pooled","High Political","Sierra"
"15",1.79725840781195,1.7517352795365,1.8427815360874,0.0232125818931603,"Pooled","High Political","Colgate"
"16",3.07314495410343,3.02561467303788,3.12067523516897,0.0242360440381676,"Pooled","High Political","MSC"
